productId,title,description,price,quantity,is_hide,created,category,creator
620,Toddler Boys Camo Print Hoodie & Sweatpants,"| Color: Army Green | Style: Casual | Pattern Type: Camo | Neckline: Hooded | Top Type: Sweatshirt | Sleeve Length: Long Sleeve | Season: Spring/Fall | Composition: 95% Cotton, 5% Spandex | Material: Cotton | Fabric: Slight Stretch | Fit Type: Regular Fit | Lining: No | Suit Type: Sweatpants",17.0,150,0,2020-08-26 01:01:00,3,6
619,SHEIN Girls Solid Cami Top & Belted Pants Set,"| Color: Multicolor | Style: Casual | Pattern Type: Colorblock | Neckline: Spaghetti Strap | Top Type: Camisole | Bottom Type: Pants | Details: Belted, Zipper | Sleeve Length: Sleeveless | Season: Spring/Fall | Composition: 97% Polyester, 3% Spandex | Material: Polyester | Fabric: Non-Stretch | Sheer: No | Fit Type: Regular Fit | Belt: Yes",17.0,142,0,2020-08-26 01:00:19,3,6
618,SHEIN Girls Colorblock Slogan Graphic Pullover,"| Color: Multicolor | Style: Sporty | Pattern Type: Colorblock, Slogan | Neckline: Round Neck | Length: Regular | Type: Pullovers | Sleeve Length: Long Sleeve | Sleeve Type: Regular Sleeve | Season: Spring/Fall | Composition: 45% Cotton, 50% Polyester, 5% Spandex | Material: Polyester | Fabric: Slight Stretch | Sheer: No | Fit Type: Regular Fit",15.0,150,0,2020-08-26 00:59:22,3,6
617,SHEIN Girls Drop Shoulder Plaid Sweatshirt,"| Color: Multicolor | Type: Pullovers | Style: Casual | Pattern Type: Gingham | Neckline: Round Neck | Length: Regular | Sleeve Length: Long Sleeve | Sleeve Type: Drop Shoulder | Season: Spring/Fall | Composition: 28% Acrylic, 28% Modal, 44% Viscose | Material: Viscose | Fabric: Slight Stretch | Sheer: No | Fit Type: Regular Fit | Placket Type: Pullovers",18.0,140,0,2020-08-26 00:58:58,3,6
616,SHEIN Girls Drop Shoulder Letter Hoodie & Camo Leggings Set,"| Color: Multicolor | Style: Sporty | Pattern Type: Letter, Camo | Neckline: Hooded | Top Type: Sweatshirt | Bottom Type: Leggings | Sleeve Length: Long Sleeve | Sleeve Type: Drop Shoulder | Season: Spring/Fall | Composition: 95% Polyester, 5% Spandex | Material: Polyester | Fabric: Slight Stretch | Sheer: No | Fit Type: Regular Fit | Arabian Clothing: Yes",11.0,177,0,2020-08-26 00:57:58,3,6
615,SHEIN Girls Slogan Graphic Tee and Camo Leggings Set,"| Color: Multicolor | Style: Sporty | Pattern Type: Camo, Slogan | Neckline: Round Neck | Top Type: Tee | Bottom Type: Leggings | Sleeve Length: Short Sleeve | Sleeve Type: Regular Sleeve | Season: Spring/Fall | Composition: 95% Cotton, 5% Spandex | Material: Cotton | Fabric: Slight Stretch | Sheer: No | Fit Type: Regular Fit | Arabian Clothing: Yes",11.0,148,0,2020-08-26 00:57:12,3,6
614,SHEIN Girls Twist Front Tie Dye Hoodie,"| Color: Multicolor | Style: Casual | Pattern Type: Tie Dye | Neckline: Hooded | Length: Regular | Type: Pullovers | Details: Twist | Sleeve Length: Long Sleeve | Season: Spring | Composition: 95% Polyester, 5% Spandex | Material: Polyester | Fabric: Slight Stretch | Fit Type: Regular Fit | Arabian Clothing: Yes",17.0,130,0,2020-08-26 00:56:59,3,6
613,SHEIN Girls Letter and Lightning Print Drop Shoulder Pullover,"| Color: White | Style: Casual | Pattern Type: Letter, Geometric | Neckline: Round Neck | Length: Regular | Type: Pullovers | Sleeve Length: Long Sleeve | Sleeve Type: Drop Shoulder | Season: Spring/Fall | Composition: 33.7% Cotton, 66.3% Polyester | Material: Polyester | Fabric: Slight Stretch | Sheer: No | Fit Type: Regular Fit",19.0,172,0,2020-08-26 00:56:48,3,6
612,SHEIN Girls Lace Peter Pan Collar Applique Boxy Pleated Dress,"| Color: Black | Style: Glamorous | Pattern Type: Colorblock | Neckline: Peter Pan Collar | Length: Midi | Type: Fit and Flare | Details: Contrast Lace, Pleated, Zipper | Sleeve Length: Long Sleeve | Sleeve Type: Regular Sleeve | Season: Spring/Fall | Composition: 95% Polyester, 5% Spandex | Material: Polyester | Fabric: Slight Stretch | Waist Line: High Waist | Sheer: No | Hem Shaped: Flared | Fit Type: Regular Fit | Arabian Clothing: Yes",11.0,122,0,2020-08-26 00:56:35,3,6
611,SHEIN Girls Drop Shoulder Striped Colorblock Sweater,"| Color: Multicolor | Type: Pullovers | Style: Casual | Pattern Type: Striped | Neckline: Round Neck | Length: Regular | Sleeve Length: Long Sleeve | Sleeve Type: Drop Shoulder | Season: Spring/Fall | Composition: 45% Acrylic, 25% Elastane, 30% Nylon | Material: Acrylic | Fabric: Slight Stretch | Sheer: No | Fit Type: Regular Fit | Placket Type: Pullovers",17.0,149,0,2020-08-26 00:56:21,3,6
610,SHEIN Girls Puff Sleeve Rib-knit Tee,"| Color: White | Style: Casual | Pattern Type: Plain | Neckline: Round Neck | Length: Regular | Details: Rib-Knit | Sleeve Length: Long Sleeve | Sleeve Type: Puff Sleeve | Season: Spring/Fall | Composition: 25% Cotton, 70% Polyester, 5% Spandex | Material: Polyester | Fabric: Slight Stretch | Fit Type: Regular Fit | Placket Type: Pullovers | Arabian Clothing: Yes",12.0,116,0,2020-08-26 00:55:58,3,6
609,SHEIN Girls Paperbag Waist Corduroy Pants,"| Color: Camel | Style: Cute | Pattern Type: Plain | Details: Bow | Length: Long | Type: Tapered/Carrot | Season: Fall/Winter | Composition: 13% Nylon, 85% Polyester, 2% Spandex | Material: Corduroy | Fabric: Non-Stretch | Fit Type: Regular Fit | Closure Type: Elastic Waist | Waist Line: High Waist",14.0,189,0,2020-08-26 00:55:21,3,6
608,SHEIN Girls Flower Embroidery Patched Hoodie,"| Color: Black | Style: Casual | Pattern Type: Floral | Neckline: Hooded | Length: Crop | Type: Pullovers | Details: Embroidery, Appliques | Sleeve Length: Long Sleeve | Season: Spring/Fall | Composition: 30% Cotton, 65% Polyester, 5% Spandex | Fabric: Slight Stretch | Fit Type: Regular Fit",11.0,159,0,2020-08-26 00:54:19,3,6
607,SHEIN Girls Sequin Balloon Sleeve Self Belted Dress,"| Color: Black | Style: Glamorous | Pattern Type: Colorblock | Neckline: Square Neck | Length: Midi | Type: Fit and Flare | Details: Belted, Contrast Sequin, Zipper | Sleeve Length: Three Quarter Length Sleeve | Sleeve Type: Bishop Sleeve | Season: Spring/Fall | Composition: 95% Polyester, 5% Spandex | Material: Polyester | Fabric: Slight Stretch | Waist Line: High Waist | Sheer: No | Hem Shaped: Flared | Fit Type: Regular Fit | Belt: Yes | Arabian Clothing: Yes",13.0,138,0,2020-08-26 00:54:05,3,6
606,Toddler Boys Chevron & Letter Graphic Sweatshirt With Pants,"| Color: Multicolor | Style: Casual | Pattern Type: Letter, Chevron | Neckline: Stand Collar | Top Type: Sweatshirt | Bottom Type: Sweatpants | Sleeve Length: Long Sleeve | Season: Spring/Fall | Composition: 95% Cotton, 5% Spandex | Material: Cotton | Fabric: Slight Stretch | Sheer: No | Fit Type: Regular Fit",17.0,196,0,2020-08-26 00:53:37,3,6
